,name,year_start,year_end,position,height,weight,birth_date,college,weight-in-kg,bmi,bmi-category,career-duration,Pick,Player,Yrs,Draft
1549,David Robinson,1990,2003,C,2.159,235,"August 6, 1965",United States Naval Academy,106.57596371882086,22.86409330800286,1-Normal weight,14,1,David Robinson,14,1987
926,Larry Johnson,1978,1978,G,1.905,205,"November 28, 1954",University of Kentucky,92.9705215419501,25.61859495097171,2-Overweight,1,1,Larry Johnson,10,1991
288,Joe Barry Carroll,1981,1991,C-F,2.1336,225,"July 24, 1958",Purdue University,102.0408163265306,22.415473587483802,1-Normal weight,11,1,Joe Barry Carroll,10,1980
878,LeBron James,2004,2018,F-G,2.032,250,"December 30, 1984",,113.37868480725623,27.45895514466766,2-Overweight,15,1,LeBron James,13,2003
540,Patrick Ewing,2011,2011,F,2.032,235,"May 20, 1984",Georgetown University,106.57596371882086,25.811417835987598,2-Overweight,1,1,Patrick Ewing,17,1985
538,Patrick Ewing,1986,2002,C-F,2.1336,240,"August 5, 1962",Georgetown University,108.84353741496598,23.909838493316055,1-Normal weight,17,1,Patrick Ewing,17,1985
167,Andrew Bogut,2006,2018,C,2.1336,260,"November 28, 1984",University of Utah,117.91383219954648,25.902325034425726,2-Overweight,13,1,Andrew Bogut,11,2005
1924,Chris Webber,1994,2008,F-C,2.0574,245,"March 1, 1973",University of Michigan,111.11111111111111,26.24943860194415,2-Overweight,15,1,Chris Webber,15,1993
332,Derrick Coleman,1991,2005,F,2.0828,230,"June 21, 1967",Syracuse University,104.30839002267574,24.044962506217004,1-Normal weight,15,1,Derrick Coleman,15,1990
1164,Kenyon Martin,2001,2015,F,2.0574,234,"December 30, 1977",University of Cincinnati,106.12244897959184,25.07089237899972,2-Overweight,15,1,Kenyon Martin,15,2000
1360,Shaquille O'Neal,1993,2011,C,2.159,325,"March 6, 1972",Louisiana State University,147.3922902494331,31.620554574897575,3-Obesity,19,1,Shaquille O'Neal,19,1992
519,Pervis Ellison,1990,2001,F-C,2.0574,210,"April 3, 1967",University of Louisville,95.23809523809524,22.499518801666415,1-Normal weight,12,1,Pervis Ellison,11,1989
1363,Greg Oden,2009,2014,C,2.1336,250,"January 22, 1988",Ohio State University,113.37868480725623,24.90608176387089,1-Normal weight,6,1,Greg Oden,3,2007
1689,Joe Smith,1996,2011,F,2.0828,225,"July 26, 1975",University of Maryland,102.0408163265306,23.522245929994895,1-Normal weight,16,1,Joe Smith,16,1995
822,Dwight Howard,2005,2018,C,2.1082,265,"December 8, 1985",,120.18140589569161,27.04043427223478,2-Overweight,14,1,Dwight Howard,12,2004
1903,John Wall,2011,2018,G,1.9304,195,"September 6, 1990",University of Kentucky,88.43537414965986,23.731839349408062,1-Normal weight,8,1,John Wall,6,2010
695,Blake Griffin,2011,2018,F,2.0828,251,"March 16, 1989",University of Oklahoma,113.83219954648526,26.24037212634986,2-Overweight,8,1,Blake Griffin,6,2009
